"","DELL.Open","DELL.High","DELL.Low","DELL.Close","DELL.Volume","DELL.Adjusted"
"356",48.30011,48.582504,47.585827,47.66888,1252800,47.66888
"357",48.07309,48.9701,47.66888,48.787376,1386100,48.787376
"358",48.765228,49.014397,48.521595,48.942413,1735200,48.942413
"359",48.875969,49.252491,48.781837,48.997784,1553500,48.997784
"360",49.036545,49.523811,48.582504,49.241417,2406600,49.241417
"361",49.097454,49.557034,49.019932,49.341084,1501300,49.341084
"362",49.280178,49.767441,48.593578,48.931339,1430500,48.931339
"363",49.163898,49.390919,48.599113,48.9701,1399800,48.9701
"364",50.62569,51.162792,42.375416,45.813953,64480700,45.813953
"365",46.511627,47.641197,39.988926,41.417496,33350100,41.417496
"366",40.642303,40.719822,38.394241,38.803986,10927900,38.803986
"367",39.241417,40.62569,38.9701,39.700996,10807800,39.700996
"368",39.440754,40.083057,38.660023,38.898117,8460500,38.898117
"369",39.291252,40.060909,38.045403,39.25803,9875500,39.25803
"370",38.848282,39.562569,37.342194,37.419712,5958500,37.419712
"371",36.544849,37.906979,36.162792,37.225914,5635200,37.225914
"372",37.15947,38.189369,36.971207,36.971207,3641900,36.971207
"373",36.965672,37.502769,36.196014,36.334442,6213900,36.334442
"374",36.849392,37.61351,35.968994,37.264675,4668300,37.264675
"375",37.419712,38.067554,37.115173,37.66888,4135700,37.66888
"376",37.375416,38.07309,37.153931,37.818382,3234900,37.818382
"377",37.602436,38.787376,37.513844,38.687706,3162800,38.687706
"378",38.981174,39.031006,37.868217,38.222591,2280200,38.222591
"379",38.205978,39.125137,38.078629,38.64341,2158800,38.64341
"380",38.338871,38.81506,38.111851,38.660023,2686200,38.660023
"381",38.759689,39.368771,38.632336,38.715393,2342500,38.715393
"382",38.936878,39.424141,38.648949,39.069767,2852500,39.069767
"383",39.385384,39.94463,39.191582,39.745293,2375200,39.745293
"384",39.939091,40.359913,39.667774,40.083057,1492100,40.083057
"385",40.22702,40.531563,39.966778,40.276855,2019100,40.276855
"386",40.902546,41.760796,40.847176,41.135105,3525300,41.135105
"387",41.018826,42.868217,39.734219,41.733112,10307900,41.733112
"388",40.332226,41.024364,38.931339,40.786266,4363400,40.786266
"389",40.564785,41.112957,40.016613,40.974529,3404300,40.974529
"390",41.151718,41.971207,41.151718,41.860466,3129200,41.860466
"391",41.605759,42.929127,41.589146,42.801773,3936300,42.801773
"392",42.923588,44.208195,42.646732,42.868217,3589200,42.868217
"393",42.929127,43.543743,42.508305,43.455151,2311300,43.455151
"394",43.576965,43.887043,42.862679,43.067554,2433500,43.067554
"395",43.139534,43.189369,42.464008,42.823921,2565700,42.823921
"396",42.912514,43.24474,42.535992,43.089703,1662700,43.089703
"397",43.189369,43.255814,42.674419,42.978958,2078800,42.978958
"398",43.133999,43.466225,42.95681,43.167221,2218300,43.167221
"399",42.945736,43.24474,42.44186,43.172756,2080300,43.172756
"400",42.918053,43.776302,42.918053,43.322258,1563400,43.322258
"401",43.294575,43.294575,42.026577,42.081947,2113000,42.081947
"402",41.77187,41.899223,41.168327,41.229237,2652600,41.229237
"403",41.207088,42.220375,40.415283,40.498341,3585800,40.498341
"404",41.173866,41.744186,40.730896,41.60022,2014500,41.60022
"405",41.87154,42.181618,40.542637,40.79734,2164300,40.79734
"406",40.786266,40.891472,39.700996,39.922482,2750300,39.922482
"407",39.961239,40.764118,39.734219,40.537098,2602600,40.537098
"408",40.586933,40.891472,39.230343,40.177189,2077800,40.177189
"409",40.282391,40.526024,39.629013,40.321152,1587600,40.321152
"410",39.700996,40.548172,39.457363,40.404209,1231300,40.404209
"411",40.714287,40.941307,39.950165,40.315613,1387700,40.315613
"412",40.077518,40.370987,39.15836,39.473976,1466400,39.473976
"413",39.590256,40.614616,39.523811,39.811737,1303200,39.811737
"414",40.448505,40.664452,39.900333,40.304539,1318100,40.304539
"415",40.177189,40.431892,39.723145,39.82835,818800,39.82835
"416",39.966778,40.465115,39.867111,40.243633,1122200,40.243633
"417",40.431892,40.631229,39.88372,40.365448,1474000,40.365448
"418",41.638981,41.915836,40.121815,41.168327,4320100,41.168327
"419",41.362125,41.949059,41.068661,41.744186,4311400,41.744186
"420",42.452934,42.580288,41.722038,41.965672,3190800,41.965672
"421",41.677742,41.893688,40.714287,40.919159,1979500,40.919159
"422",40.642303,41.01329,39.800663,40.238094,3461500,40.238094
"423",40.3433,40.581394,40.049835,40.470654,2004600,40.470654
"424",40.636765,40.974529,39.889259,40.105206,2189200,40.105206
"425",39.889259,40.260242,39.263565,39.745293,1209400,39.745293
"426",39.905869,40.559246,39.77298,40.404209,1086600,40.404209
"427",40.586933,40.891472,40.17165,40.210411,1272600,40.210411
"428",40.232559,40.448505,39.318935,39.739758,1943600,39.739758
"429",39.568108,39.911407,39.130676,39.540421,1857100,39.540421
"430",39.468437,39.590256,38.9701,39.147285,2085000,39.147285
"431",39.191582,39.490585,38.277962,39.424141,2534700,39.424141
"432",39.241417,40.725361,39.080841,40.393135,1518600,40.393135
